Location,Year,Site ,Transect,Direction,Black,Cabezon,Canary,China,Copper,Greenling,Lingcod,Quillback,Tiger,Widow,Wolfeel,Yellowtail,YOY,Vermillion,Halibut,Yelloweye,Puget_Sound
Neah Bay,2005,Site 1,T1,Forward,41,0,0,2,0,12,1,0,0,0,0,0,3,0,0,0,0
Neah Bay,2005,Site 1,T2,Forward,11,0,0,10,0,9,0,1,2,0,0,0,4,0,0,0,0
Neah Bay,2005,Site 1,T3,Forward,51,2,10,0,1,1,7,0,0,0,1,0,0,0,0,0,0
Neah Bay,2006,Site 1,T1,Forward,69,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0
Neah Bay,2006,Site 1,T2,Forward,19,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2006,Site 1,T3,Forward,88,0,0,4,0,4,0,0,0,0,0,0,58,0,0,0,0
Neah Bay,2006,Site 1,T4,Forward,46,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0
Neah Bay,2006,Site 2 ,T1,Forward,7,0,0,3,0,2,0,0,0,0,0,0,60,0,0,0,0
Neah Bay,2006,Site 2,T2,Forward,40,0,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0
Neah Bay,2006,Site 2,T3,Forward,47,0,0,3,0,3,0,0,0,0,0,0,140,0,0,0,0
Neah Bay,2006,Site 2,T4,Forward,9,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2006,Site 3,T1,Forward,0,0,0,1,1,0,0,0,0,0,0,0,50,0,0,0,0
Neah Bay,2006,Site 3,T2,Forward,9,0,0,1,0,3,0,0,0,0,0,0,90,0,0,0,0
Neah Bay,2006,Site 3,T3,Forward,9,0,0,2,1,3,0,0,0,0,0,0,91,0,0,0,0
Neah Bay,2006,Site 3,T4,Forward,26,0,0,2,1,3,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2006,Site 4,T1,Forward,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2006,Site 4,T2,Forward,14,0,0,0,1,1,0,0,0,0,0,2,10,0,0,0,0
Neah Bay,2006,Site 4,T3,Forward,20,0,0,0,1,1,0,0,0,0,0,2,10,0,0,0,0
Neah Bay,2006,Site 4,T4,Forward,11,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,0
Neah Bay,2007,Site 1,T1,Forward,146,0,0,1,0,0,9,0,1,1,0,6,0,0,0,0,0
Neah Bay,2007,Site 1,T2,Forward,60,0,0,0,0,0,3,1,1,5,0,5,1,0,0,0,0
Neah Bay,2007,Site 1,T3,Forward,110,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0
Neah Bay,2007,Site 2 ,T1,Forward,31,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Neah Bay,2007,Site 2,T2,Forward,30,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
Neah Bay,2007,Site 2,T3,Forward,33,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0
Neah Bay,2007,Site 2,T4,Forward,31,0,0,0,0,0,4,1,0,34,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T1,Forward,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T2,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T3,Forward,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0
Neah Bay,2007,Site 3,T4,Forward,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 4,T1,Forward,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2007,Site 4,T2,Forward,33,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
Neah Bay,2007,Site 4,T3,Forward,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 4,T4,Forward,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2008,Site 1,T1,Forward,5,0,0,0,0,0,3,0,2,40,0,0,0,0,0,0,0
Neah Bay,2008,Site 1,T2,Forward,3,0,0,0,0,0,3,0,0,6,0,2,0,0,0,0,0
Neah Bay,2008,Site 1,T3,Forward,16,0,0,0,0,0,2,0,0,50,0,1,0,0,0,0,0
Neah Bay,2008,Site 1,T4,Forward,3,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0
Neah Bay,2008,Site 2 ,T1,Forward,25,0,0,0,0,0,7,0,2,30,0,3,0,0,0,0,0
Neah Bay,2008,Site 2 ,T2,Forward,56,0,0,0,2,0,0,0,0,37,0,2,0,0,0,0,0
Neah Bay,2008,Site 2 ,T3,Forward,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neah Bay,2008,Site 2 ,T4,Forward,15,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
Neah Bay,2008,Site 3,T1,Forward,19,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
Neah Bay,2008,Site 3,T2,Forward,11,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0
Neah Bay,2008,Site 3,T3,Forward,9,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0
Neah Bay,2008,Site 4,T1,Forward,5,0,0,0,0,0,4,0,0,0,0,4,348,0,0,0,0
Neah Bay,2008,Site 4,T2,Forward,8,0,0,0,1,0,8,0,0,0,0,5,149,0,0,0,0
Neah Bay,2008,Site 4,T3,Forward,8,0,0,0,0,0,6,0,0,0,0,0,60,0,0,0,0
Neah Bay,2009,Site 1,T1,Forward,12,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2009,Site 1,T2,Forward,193,0,0,3,0,5,0,0,0,0,0,2,1,0,0,0,0
Neah Bay,2009,Site 1,T3,Forward,23,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0
Neah Bay,2009,Site 1,T4,Forward,43,0,0,9,0,4,0,0,0,0,0,0,4,0,0,0,0
Neah Bay,2009,Site 2 ,T1,Forward,40,0,0,9,1,5,1,0,0,0,0,5,4,0,0,0,0
Neah Bay,2009,Site 2 ,T2,Forward,47,0,0,2,1,4,0,0,1,0,1,7,4,0,0,0,0
Neah Bay,2009,Site 2 ,T3,Forward,26,0,0,8,0,5,1,0,0,0,0,0,30,0,0,0,0
Neah Bay,2009,Site 2 ,T4,Forward,22,0,0,8,0,9,1,0,0,0,0,0,20,0,0,0,0
Neah Bay,2009,Site 3,T1,Forward,31,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2009,Site 3,T2,Forward,78,0,0,5,0,5,1,0,0,0,0,2,0,0,0,0,0
Neah Bay,2009,Site 3,T3,Forward,50,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0
