Year,Site,Species,Count,Avg_Length_mm,Avg_RecFin_weight_kg
2000,NEAH BAY,BLACK ROCKFISH,800,40.05375,1.1197
2000,NEAH BAY,BLUE ROCKFISH,40,33.65,0.71775
2000,NEAH BAY,CHINA ROCKFISH,55,32.90909091,0.744181818
2000,NEAH BAY,COPPER ROCKFISH,26,34.26923077,0.782307692
2000,NEAH BAY,LINGCOD,298,110.0973154,3.705234899
2000,NEAH BAY,QUILLBACK ROCKFISH,26,39.15384615,1.300384615
2000,NEAH BAY,TIGER ROCKFISH,3,35,0.826666667
2000,NEAH BAY,VERMILION ROCKFISH,12,46.33333333,1.963333333
2000,NEAH BAY,YELLOWEYE ROCKFISH,57,53.22807018,3.150701754
2001,NEAH BAY,BLACK ROCKFISH,727,39.97248968,1.121815681
2001,NEAH BAY,BLUE ROCKFISH,61,35.39344262,0.836885246
2001,NEAH BAY,CHINA ROCKFISH,38,32.57894737,0.729473684
2001,NEAH BAY,COPPER ROCKFISH,32,39.09375,1.1928125
2001,NEAH BAY,LINGCOD,366,140.1939891,3.713907104
2001,NEAH BAY,QUILLBACK ROCKFISH,16,35.5625,0.979375
2001,NEAH BAY,TIGER ROCKFISH,5,40.4,1.324
2001,NEAH BAY,VERMILION ROCKFISH,8,48.125,2.48875
2001,NEAH BAY,YELLOWEYE ROCKFISH,46,54.23913043,3.332173913
2002,NEAH BAY,BLACK ROCKFISH,1087,138.2566697,1.184673413
2002,NEAH BAY,BLUE ROCKFISH,21,366.2857143,0.932380952
2002,NEAH BAY,CABEZON,23,529,2.82826087
2002,NEAH BAY,CANARY ROCKFISH,17,358.7058824,0.803529412
2002,NEAH BAY,CHINA ROCKFISH,32,235.75,0.78625
2002,NEAH BAY,COPPER ROCKFISH,27,135.4814815,0.961851852
2002,NEAH BAY,KELP GREENLING,78,372.3589744,0.751538462
2002,NEAH BAY,LINGCOD,647,134.244204,3.523632148
2002,NEAH BAY,QUILLBACK ROCKFISH,17,177.4117647,0.755294118
2002,NEAH BAY,RED IRISH LORD,2,390.5,1.185
2002,NEAH BAY,TIGER ROCKFISH,1,33,0.69
2002,NEAH BAY,VERMILION ROCKFISH,4,169,2.2825
2002,NEAH BAY,YELLOWTAIL ROCKFISH,11,338.8181818,0.619090909
2002,SEIKU,BLACK ROCKFISH,242,404.6446281,1.15785124
2002,SEIKU,BLUE ROCKFISH,7,362.8571429,0.891428571
2002,SEIKU,CABEZON,7,480.2857143,2.611428571
2002,SEIKU,CANARY ROCKFISH,29,362.9310345,0.860344828
2002,SEIKU,CHINA ROCKFISH,11,330.8181818,0.759090909
2002,SEIKU,COPPER ROCKFISH,11,373.0909091,1.01
2002,SEIKU,KELP GREENLING,8,377.875,0.8
2002,SEIKU,LINGCOD,19,660.1052632,3.025263158
2002,SEIKU,PACIFIC COD,3,709,3.733333333
2002,SEIKU,QUILLBACK ROCKFISH,8,361.5,0.99875
2002,SEIKU,VERMILION ROCKFISH,4,410.5,1.35
2002,SEIKU,YELLOWTAIL ROCKFISH,8,334.625,0.60125
2003,NEAH BAY,BLACK ROCKFISH,911,45.84302964,1.235554336
2003,NEAH BAY,BLUE ROCKFISH,23,379.7826087,1.01173913
2003,NEAH BAY,CABEZON,34,509.5294118,2.541470588
2003,NEAH BAY,CANARY ROCKFISH,13,381.0769231,0.986923077
2003,NEAH BAY,CHINA ROCKFISH,15,327.5333333,0.733333333
2003,NEAH BAY,COPPER ROCKFISH,17,365.5882353,0.993529412
2003,NEAH BAY,KELP GREENLING,63,363.6451613,0.705
2003,NEAH BAY,LINGCOD,662,176.7598187,3.577145015
2003,NEAH BAY,PACIFIC COD,17,702.7647059,3.712941176
2003,NEAH BAY,PACIFIC HALIBUT,7,900.2857143,9.027142857
2003,NEAH BAY,PERCH FAMILY,1,304,#DIV/0!
2003,NEAH BAY,QUILLBACK ROCKFISH,22,405.9545455,1.563181818
2003,NEAH BAY,RED IRISH LORD,2,329,0.665
2003,NEAH BAY,TIGER ROCKFISH,2,417.5,1.415
2003,NEAH BAY,TUNAS (NON-MACKEREL),12,675.3333333,#DIV/0!
2003,NEAH BAY,VERMILION ROCKFISH,3,498.3333333,2.72
2003,NEAH BAY,YELLOWTAIL ROCKFISH,41,428.902439,1.361707317
2003,SEIKU,BLACK ROCKFISH,31,430.516129,1.408064516
2003,SEIKU,CABEZON,3,538.3333333,2.876666667
2003,SEIKU,CHINA ROCKFISH,13,332.5384615,0.77
