Cruise ID,UTC Time,Latitude DegMin,Longitude DegMin,Latitude Deg,Longitude Deg,Station,Pressure,Depth,Temperature,Salinity,Sigma-t,Oxygen Concentration MG,Chlorophyll Fluorescence ,Beam Transmission,Nitrate,Nitrite,Ammonium,Phosphate,Silicate,Oxygen Concentration MG Titration,Chlorophyll Concentration,Phaeopigment Concentration
,,[deg min],[deg min],[deg],[deg],,[db],[m],[deg C],,[kg/m^3],[mg/l],[mg/m^3],[%],[uM],[uM],[uM],[uM],[uM],[mg/l],[ug/l],[ug/l]
,,,,,,,CTD,CTD,CTD,CTD,CTD,CTD,CTD,CTD,Lab,Lab,Lab,Lab,Lab,Lab,Lab,Lab
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,1.10,1.10,12.47,28.78,21.68,7.34,7.86,86.28,16.90,0.42,1.29,1.86,35.70,7.21,1.46,0.57
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,4.20,4.20,12.01,29.25,22.13,7.18,6.63,86.33,17.50,0.44,1.32,1.91,36.10,,1.12,0.22
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,6.40,6.40,11.86,29.37,22.25,7.11,6.70,86.00,15.60,0.41,1.23,1.78,33.70,6.81,0.65,0.43
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,9.20,9.10,11.83,29.40,22.27,7.10,7.41,86.10,17.70,0.42,1.32,1.92,36.50,,0.67,0.54
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,11.60,11.50,11.89,29.35,22.22,7.16,7.54,85.96,17.60,0.42,1.40,1.91,37.40,6.74,0.69,0.46
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,16.40,16.30,11.62,29.53,22.41,6.93,6.24,85.96,18.10,0.41,1.54,1.93,38.50,,0.97,0.43
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,20.20,20.00,11.56,29.57,22.45,6.90,6.03,84.94,18.60,0.41,1.63,1.67,37.40,6.47,0.56,0.46
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,30.70,30.50,11.38,29.75,22.63,6.77,6.94,84.27,18.90,0.40,1.61,1.68,38.80,6.35,0.84,0.67
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,50.50,50.00,11.13,29.95,22.83,6.62,7.43,85.27,19.10,0.38,1.69,2.00,39.10,6.15,0.71,0.70
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,75.30,74.60,11.02,30.05,22.92,6.52,6.51,81.16,19.90,0.37,1.67,2.02,39.90,5.99,0.73,0.81
 TN097,Aug 18 1999 18:59:03,47 58.98 N,122 37.2 W,47.983,-122.620,P7,90.50,89.70,10.67,30.35,23.21,6.16,6.61,77.69,21.00,0.37,1.80,2.07,41.00,5.76,0.67,0.93
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,1.10,1.10,13.92,28.00,20.80,8.35,15.00,76.89,8.70,0.27,1.07,1.42,44.00,7.83,2.43,1.15
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,6.20,6.20,12.63,28.77,21.64,7.23,15.00,80.87,13.60,0.33,2.24,1.78,46.00,6.62,1.46,1.16
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,11.20,11.10,11.51,29.58,22.47,6.60,8.04,81.39,16.90,0.36,2.57,1.93,45.80,6.14,0.80,0.93
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,21.30,21.10,11.34,29.76,22.64,6.59,6.48,80.42,18.60,0.37,2.54,1.97,46.10,6.07,0.56,0.90
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,31.40,31.10,11.04,29.99,22.87,6.39,5.82,77.23,18.90,0.37,2.64,2.01,46.60,5.96,0.54,0.89
 TN097,Aug 18 1999 20:08:35,47 53.82 N,122 36.3 W,47.897,-122.605,P8,51.50,51.10,10.87,30.14,23.02,6.24,5.98,77.16,19.90,0.37,2.59,2.05,47.00,5.84,0.46,0.99
