Cruise ID,UTC Time,Latitude DegMin,Longitude DegMin,Latitude Deg,Longitude Deg,Station,Pressure,Depth,Temperature,Salinity,Sigma-t,Oxygen Concentration MG,Chlorophyll Fluorescence ,Nitrate,Nitrite,Ammonium,Phosphate,Silicate,Oxygen Concentration MG Titration,Chlorophyll Concentration,Phaeopigment Concentration
,,[deg min],[deg min],[deg],[deg],,[db],[m],[deg C],,[kg/m^3],[mg/l],[mg/m^3],[uM],[uM],[uM],[uM],[uM],[mg/l],[ug/l],[ug/l]
,,,,,,,CTD,CTD,CTD,CTD,CTD,CTD,CTD,Lab,Lab,Lab,Lab,Lab,Lab,Lab,Lab
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,1.13,1.12,17.09,25.16,17.96,11.44,4.50,,,,,,,,
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,1.14,1.13,17.04,25.20,18.00,11.57,4.36,0.27,0.02,0.08,0.36,18.35,11.52,21.71,2.36
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,4.88,4.84,13.23,28.26,21.14,13.29,11.00,9.86,0.48,0.04,1.16,22.26,9.75,3.31,0.72
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,10.11,10.03,11.43,29.14,22.14,6.80,4.90,22.69,0.66,0.01,2.05,42.07,6.54,2.77,1.24
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,20.50,20.32,10.25,29.23,22.41,6.09,2.91,27.56,0.05,0.06,2.35,43.80,6.04,0.56,0.36
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,30.26,30.01,9.77,29.29,22.53,6.14,2.21,28.57,0.02,,2.44,47.53,6.13,0.18,0.18
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,49.96,49.53,9.29,29.43,22.72,6.02,2.19,30.71,0.00,0.00,2.61,53.52,5.89,0.11,0.26
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,80.61,79.92,8.76,29.62,22.94,5.02,2.28,33.95,0.02,0.00,2.94,62.63,4.91,,
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,101.36,100.49,8.49,29.73,23.07,4.36,2.22,35.60,0.01,0.00,3.31,73.13,4.16,,
 BOLD200808,Aug 13 2008 05:54:01,48 7.92 N,122 23.82 W,48.132,-122.397,P2,117.01,116.00,8.27,29.93,23.26,2.85,2.63,35.19,0.01,0.01,3.59,86.40,3.22,,
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,1.22,1.21,15.75,26.22,19.06,12.43,7.29,1.13,0.08,0.43,0.38,13.19,11.56,11.23,1.26
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,1.22,1.21,15.77,26.22,19.05,12.41,7.56,,,,,,,,
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,4.69,4.65,13.80,27.39,20.36,11.26,17.07,3.26,0.23,0.09,0.67,15.71,10.04,19.18,2.67
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,9.69,9.61,12.54,29.07,21.89,8.96,11.77,15.40,0.87,0.84,1.53,29.76,8.15,18.14,1.42
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,20.19,20.02,10.53,29.44,22.53,6.29,2.50,25.90,0.08,0.21,2.24,45.98,6.17,0.37,0.24
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,30.18,29.92,10.69,29.58,22.61,6.24,2.17,26.34,0.02,0.05,2.30,47.35,6.04,0.23,0.19
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,50.30,49.87,10.15,29.62,22.73,5.84,2.09,27.73,0.01,0.05,2.42,50.64,5.78,0.14,0.34
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,80.95,80.25,9.87,29.86,22.97,5.36,2.18,28.60,0.08,0.33,2.52,57.57,5.33,,
 BOLD200808,Aug 13 2008 07:37:56,48 1.02 N,122 18.18 W,48.017,-122.303,P1,105.22,104.31,8.32,29.90,23.23,2.92,2.78,31.99,0.05,0.33,3.17,78.53,3.78,,
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,1.08,1.07,14.91,27.50,20.22,11.31,12.00,0.56,0.21,0.32,0.63,17.01,11.12,15.49,0.53
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,5.13,5.09,14.11,28.10,20.84,10.83,11.24,3.56,0.41,0.29,0.99,22.99,9.30,15.84,0.78
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,9.82,9.74,11.80,29.54,22.39,7.20,4.35,15.19,0.91,1.09,1.89,42.41,7.13,3.59,0.28
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,20.36,20.19,11.71,29.60,22.45,7.08,3.88,16.54,0.89,0.73,1.98,43.28,6.91,1.98,0.27
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,29.55,29.30,11.55,29.83,22.66,6.81,3.49,17.22,0.88,1.73,2.00,44.05,6.67,1.75,0.20
 BOLD200808,Aug 13 2008 09:40:39,47 55.5 N,122 28.14 W,47.925,-122.469,P6,50.08,49.66,11.52,29.91,22.73,6.72,3.24,17.83,0.86,1.22,2.08,45.26,6.48,1.31,0.52
