Cruise ID,UTC Time,Latitude DegMin,Longitude DegMin,Latitude Deg,Longitude Deg,Station,Pressure,Depth,Temperature,Salinity,Sigma-t,Oxygen Concentration MG,Chlorophyll Fluorescence ,Beam Transmission,Nitrate,Nitrite,Ammonium,Phosphate,Silicate,Oxygen Concentration MG Titration,Chlorophyll Concentration,Phaeopigment Concentration
,,[deg min],[deg min],[deg],[deg],,[db],[m],[deg C],,[kg/m^3],[mg/l],[mg/m^3],[%],[uM],[uM],[uM],[uM],[uM],[mg/l],[ug/l],[ug/l]
,,,,,,,CTD,CTD,CTD,CTD,CTD,CTD,CTD,CTD,Lab,Lab,Lab,Lab,Lab,Lab,Lab,Lab
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,3.17,3.15,11.24,31.24,23.81,6.70,1.54,84.30,21.20,0.32,0.53,1.93,39.34,7.36,2.59,0.46
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,8.45,8.38,10.95,31.49,24.05,6.65,1.72,84.26,21.03,0.33,0.49,1.90,39.44,7.37,2.99,0.39
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,12.86,12.75,10.94,31.47,24.04,6.59,1.81,84.76,21.37,0.33,0.57,1.89,39.03,7.25,2.79,0.49
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,24.01,23.80,8.78,32.58,25.26,4.44,0.36,87.99,27.82,0.33,0.83,2.28,44.36,4.93,0.32,0.31
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,33.49,33.21,8.43,32.81,25.49,4.07,0.25,87.59,29.54,0.29,0.52,2.35,45.56,4.50,0.25,0.57
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,53.04,52.58,7.94,33.23,25.89,3.84,0.43,87.55,29.90,0.29,0.22,2.32,45.47,4.22,0.50,0.41
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,78.03,77.35,7.56,33.47,26.13,3.55,0.29,87.69,31.10,0.28,0.15,2.35,46.27,3.88,0.00,0.00
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,102.12,101.23,7.37,33.55,26.23,3.35,0.24,87.60,31.84,0.26,0.11,2.40,47.37,3.65,0.00,0.00
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,150.35,149.03,7.10,33.77,26.43,2.92,0.20,87.91,33.11,0.24,0.06,2.44,48.97,3.35,0.00,0.00
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,197.56,195.80,6.91,33.80,26.49,2.56,0.19,87.18,34.59,0.29,0.11,2.57,53.25,2.92,0.00,0.00
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,246.00,243.78,6.67,33.91,26.61,2.39,0.17,86.52,35.96,0.24,0.11,2.66,57.94,2.58,0.00,0.00
 TN170,Jul 18 2004 00:16:11,48 28.02 N,124 47.04 W,48.467,-124.784,P120,289.18,286.54,6.61,33.92,26.62,2.34,0.17,85.21,36.38,0.23,0.11,2.66,59.14,2.53,0.00,0.00
 TN170,Jul 18 2004 01:19:25,48 25.98 N,124 49.2 W,48.433,-124.820,P119,2.50,2.48,9.64,32.34,24.93,5.34,0.74,85.28,24.38,0.33,0.50,2.05,41.58,5.80,2.29,0.44
 TN170,Jul 18 2004 01:19:25,48 25.98 N,124 49.2 W,48.433,-124.820,P119,7.83,7.77,9.46,32.41,25.02,5.28,0.81,85.55,25.48,0.32,0.46,2.08,42.37,5.90,2.12,0.51
 TN170,Jul 18 2004 01:19:25,48 25.98 N,124 49.2 W,48.433,-124.820,P119,12.85,12.74,9.24,32.50,25.12,4.95,1.12,85.94,26.38,0.32,0.45,2.14,43.17,5.55,1.62,0.51
 TN170,Jul 18 2004 01:19:25,48 25.98 N,124 49.2 W,48.433,-124.820,P119,22.58,22.39,8.31,32.98,25.64,4.12,0.42,87.40,29.31,0.32,0.34,2.27,44.78,4.57,0.58,0.43
 TN170,Jul 18 2004 01:19:25,48 25.98 N,124 49.2 W,48.433,-124.820,P119,32.59,32.31,7.78,33.35,26.01,3.78,0.34,87.69,30.31,0.29,0.22,2.32,46.08,4.13,0.50,0.49
