record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,1,,94,93.197,7.534,,,,33.775,,,,26.380,,4.027,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",4.271,,,4.271,,,,,,,,,29.55286307,0.075426955,5.10459E-05,2.067355046,34.93498166,,-0.0772,,,,,,,,,,,,,
2,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,2,,45,44.621,7.939,,,,32.450,,,,25.281,,8.151,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",8.356,,,8.356,,,Air bubble in sample,,,,,,12.49315613,0.059757143,5.17857E-05,1.177451786,11.26432624,,0.0921,,,,,,,,,,,,,
3,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,3,,25,24.791,9.602,,,,32.160,,,,24.801,,6.460,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",6.713,,,6.713,,,,,,,,,16.56058508,0.216818531,5.25255E-05,1.465187326,20.50875982,,0.4145,0.255,,0.255,,0.563,,0.563,,,,,,
4,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,4,,10,9.916,12.262,,,,31.569,,,,23.877,,11.298,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",11.574,,,11.574,,,,,,,,,0.106980211,-0.002127282,5.32653E-05,0.258481865,11.00335548,,10.3941,10.735,,10.735,,7.876,,7.876,,,,,,
5,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,5,,5,4.958,12.332,,,,31.560,,,,23.857,,11.301,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",11.640,,,11.640,,,,,,,,,0.009992988,0,5.40051E-05,0.261591505,11.52475487,,9.0617,8.702,,8.702,,5.269,,5.269,,,,,,
6,  RBTSN202007,07/03/20,4:48:43,07/02/20,21:48:43, 47 57.76 N, 124 57.33 W,47.963,124.956,381,6,,1.5,1.487,12.625,,,,31.525,,,,23.775,,10.973,,,,"Chaba deploy, bottle CTD file didn't save so the CTD data matching the pressures programed to fire the bottles was pulled out of the upcast",11.245,,,11.245,,,,,,,,,0.012428295,0,5.47449E-05,0.312793345,14.14413549,,5.5882,6.242,,6.242,,3.087,,3.087,,,,,,
7,  RBTSN202007,07/03/20,20:16:39,07/03/20,13:16:39, 47 57.76 N, 124 57.33 W,47.963,124.956,381,1,,85.190,84.464,7.450,,,,33.654,,,,26.298,,4.582,,,,Nemo-SS deploy,4.866,,,4.866,,,,,,,,,27.34901271,0.098072914,5.17857E-06,1.911143279,31.73461576,,-0.0735,,,,,,,,,,,,,
8,  RBTSN202007,07/03/20,20:16:50,07/03/20,13:16:50, 47 57.76 N, 124 57.33 W,47.963,124.956,381,2,,80.927,80.238,7.480,,,,33.642,,,,26.284,,4.617,,,,Nemo-SS deploy,4.976,,,4.976,,,,,,,,,27.1565554,0.089309502,5.91837E-06,1.943328718,31.44165704,,-0.0713,,,,,,,,,,,,,
9,  RBTSN202007,07/03/20,20:18:45,07/03/20,13:18:45, 47 57.76 N, 124 57.33 W,47.963,124.956,381,3,,50.573,50.147,7.849,,,,32.771,,,,25.546,,6.899,,,,Nemo-SS deploy,7.368,,,7.368,,,,,,,,,17.12936066,0.05690769,6.65816E-06,1.427207958,16.80073946,,-0.0301,0.044,,0.044,,0.088,,0.088,,,,,,
10,  RBTSN202007,07/03/20,20:20:51,07/03/20,13:20:51, 47 57.76 N, 124 57.33 W,47.963,124.956,381,4,,20.175,20.007,9.927,,,,32.208,,,,24.785,,7.489,,,,Nemo-SS deploy,8.068,,,8.068,,,,,,,,,9.422812873,0.571393078,0.036547398,1.060944698,12.72122988,,1.094,0.657,,0.657,,0.663,,0.663,,,,,,
