record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,SH1604,3/18/2016,6:02:58,3/17/2016,23:02:58,47 42.28 N,122 146.58 W,47.7047,-122.4437,28,1,,196.201,,9.2009,,2,,29.1524,,2,,22.514,,7.9591,,,2,,7.657,-999,,7.657,234,,,,,,,,27.87,0.16,0.15,2.3,62.06,2,,,,,,,,,,,,,,
2,SH1604,3/18/2016,6:04:53,3/17/2016,23:04:53,47 42.27 N,122 146.58 W,47.7045,-122.4437,28,3,,151.532,,9.209,,2,,29.0713,,2,,22.449,,8.1627,,,2,,7.863,-999,,7.863,240.3,,,,,,,,27.57,0.11,0.39,2.24,60.8,2,,,,,,,,,,-999,9,-999,9,
3,SH1604,3/18/2016,6:06:47,3/17/2016,23:06:47,47 42.24 N,122 146.58 W,47.704,-122.4437,28,5,,110.438,,9.2189,,2,,28.9932,,2,,22.387,,8.2743,,,2,,7.872,-999,,7.872,240.6,,,,,,,,10.58,0.23,0.9,1.16,24.73,2,,,,,,,,,,2012.4,2,1961.2,2,
4,SH1604,3/18/2016,6:08:18,3/17/2016,23:08:18,47 42.21 N,122 146.58 W,47.7035,-122.4437,28,6,,80.788,,9.21,,2,,28.8422,,2,,22.27,,8.5357,,,2,,8.111,-999,,8.111,248,,,,,,,,25.64,0.21,0.52,2.08,59.54,2,,,,,,,,,,-999,9,-999,9,
5,SH1604,3/18/2016,6:10:08,3/17/2016,23:10:08,47 42.16 N,122 146.58 W,47.7028,-122.4435,28,7,,50.771,,9.2029,,2,,28.5696,,2,,22.058,,8.6327,,,2,,8.275,-999,,8.275,253,,,,,,,,27.03,0.2,1.06,2.3,62.99,2,,,,,,,,,,2015.2,2,1958.6,2,
6,SH1604,3/18/2016,6:11:46,3/17/2016,23:11:46,47 42.12 N,122 146.58 W,47.702,-122.4433,28,8,,30.715,,9.2277,,2,,28.5098,,2,,22.008,,8.5714,,,2,,8.193,-999,,8.193,250.5,,,,,,,,27.59,0.15,1.24,2.25,66.83,2,,,,,,,,,,-999,9,-999,9,
7,SH1604,3/18/2016,6:12:50,3/17/2016,23:12:50,47 42.08 N,122 146.58 W,47.7014,-122.4434,28,9,,20.64,,9.2491,,2,,28.3914,,2,,21.912,,8.735,,,2,,8.18,-999,,8.18,250.1,,,,,,,,27.83,0.24,0.34,2.33,68.67,2,,,,,,,,,,1974.8,2,1936.7,2,
8,SH1604,3/18/2016,6:13:46,3/17/2016,23:13:46,47 42.06 N,122 146.58 W,47.701,-122.4435,28,10,,10.352,,9.2363,,2,,28.329,,2,,21.865,,8.8108,,,2,,8.375,-999,,8.375,256.1,,,,,,,,27.61,0.35,2.18,2.33,69.06,2,,,,,,,,,,-999,9,-999,9,
9,SH1604,3/18/2016,6:14:56,3/17/2016,23:14:56,47 42.01 N,122 146.58 W,47.7003,-122.4438,28,11,,5.523,,9.2652,,2,,27.3504,,2,,21.097,,9.5538,,,2,,8.693,-999,,8.693,266.1,,,,,,,,26.3,0.29,1.49,2.2,66.21,2,,,,,,,,,,-999,9,-999,9,
10,SH1604,3/18/2016,6:15:52,3/17/2016,23:15:52,47 42 N,122 146.58 W,47.7,-122.4439,28,12,,2.72,,9.3347,,2,,24.8816,,2,,19.162,,10.4877,,,2,,9.018,-999,,9.018,276.5,,,,,,,,25.29,0.29,1.13,2.12,64.36,2,,,,,,,,,,1918.9,2,1863,2,
