record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  RBTSN201905,5/20/2019,23:37:38,5/20/2019,16:37:38, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,1,,94.928,94.117,8.0238,,,,33.8121,,,,26.3388,,3.3958,,,,,3.860,,,3.860,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,27.127,0.209,1.478,2.062,34.213,,-0.0063,,,,,,,,,,,,,
2,  RBTSN201905,5/20/2019,23:38:09,5/20/2019,16:38:09, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,2,,84.024,83.308,8.036,,,,33.8077,,,,26.3334,,3.4039,,,,,4.086,,,4.086,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,27.738,0.227,0.721,2.097,34.994,,-0.0084,,,,,,,,,,,,,
3,  RBTSN201905,5/20/2019,23:40:01,5/20/2019,16:40:01, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,3,,50.346,49.921,8.2152,,,,33.383,,,,25.973,,4.8388,,,,,5.638,,,5.638,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,23.335,0.196,0.587,1.832,27.252,,0.043,,,,,,,,,,,,,
4,  RBTSN201905,5/20/2019,23:41:14,5/20/2019,16:41:14, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,4,,30.513,30.257,8.7682,,,,33.0075,,,,25.5946,,5.2823,,,,,5.587,,,5.587,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,16.968,0.283,1.290,1.558,18.228,,0.1822,0.255,,0.255,,0.792,,0.792,,,,,,
5,  RBTSN201905,5/20/2019,23:41:54,5/20/2019,16:41:54, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,5,,16.585,16.446,9.6365,,,,32.6802,,,,25.201,,7.0142,,,,,7.648,,,7.648,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,7.080,0.176,2.004,0.923,7.057,,0.1387,0.208,,0.208,,0.294,,0.294,,,,,,
6,  RBTSN201905,5/20/2019,23:42:52,5/20/2019,16:42:52, 47 57.76 N, 124 57.33 W,47.963,-124.956,381,6,,1.536,1.523,12.576,,,,31.8803,,,,24.059,,9.4243,,,,,10.469,,,10.469,,,water collected at 4:15PM but not sampled until 9:30PM when back at the dock due to rough conditions at sea,,,,,,0.042,0.022,0.628,0.271,1.087,,0.0106,0.194,,0.194,,0.053,,0.053,,,,,,
7,  RBTSN201905,5/22/2019,19:39:09,5/22/2019,12:39:09, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,1,,87.595,86.849,8.0988,,,,33.7819,,,,26.3039,,3.3301,,,,,4.161,,,4.161,,,water collected at 12:30PM but not sampled until 2:40PM when back at the dock due to rough conditions at sea,,,,,,28.287,0.279,0.905,2.165,35.883,,-0.0211,,,,,,,,,,,,,
8,  RBTSN201905,5/22/2019,19:41:29,5/22/2019,12:41:29, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,2,,43.903,43.533,8.7259,,,,33.0748,,,,25.6541,,5.1722,,,,,6.224,,,6.224,,,water collected at 12:30PM but not sampled until 2:40PM when back at the dock due to rough conditions at sea,,,,,,16.942,0.259,1.629,1.603,18.823,,0.2311,,,,,,,,,,,,,
9,  RBTSN201905,5/22/2019,19:42:32,5/22/2019,12:42:32, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,3,,25.293,25.082,10.4202,,,,32.4408,,,,24.8841,,8.4867,,,,,8.906,,,8.906,,,water collected at 12:30PM but not sampled until 2:40PM when back at the dock due to rough conditions at sea,,,,,,2.933,0.117,0.650,0.578,3.101,,1.4777,,,,,,,,,,,,,
10,  RBTSN201905,5/22/2019,19:43:15,5/22/2019,12:43:15, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,4,,10.865,10.774,12.1442,,,,31.9921,,,,24.2273,,9.5902,,,,,9.662,,,9.662,,,water collected at 12:30PM but not sampled until 2:40PM when back at the dock due to rough conditions at sea,,,,,,0.030,0.019,0.254,0.263,1.210,,0.5667,0.421,,0.421,,0.220,,0.220,,,,,,
11,  RBTSN201905,5/22/2019,19:43:30,5/22/2019,12:43:30, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,5,,5.22,5.177,12.3441,,,,31.9386,,,,24.1482,,9.4742,,,,,9.569,,,9.569,,,water collected at 12:30PM but not sampled until 2:40PM when back at the dock due to rough conditions at sea,,,,,,0.030,0.034,0.113,0.259,1.274,,0.2963,0.402,,0.402,,0.134,,0.134,,,,,,
12,  RBTSN201905,5/22/2019,19:43:43,5/22/2019,12:43:43, 47 57.99 N, 124 57.53 W,47.967,-124.959,381,6,,1.361,1.35,12.528,,,,31.9879,,,,24.1515,,9.4888,,,,,,,,,,,"A crack was noticed in the bottle when titrating, sample was seeping out the crack",,,,,,0.057,0.020,0.102,0.265,1.545,,0.1348,0.350,,0.350,,0.133,,0.133,,,,,,
13,  RBTSN201905,5/23/2019,12:12:24,5/23/2019,5:12:24, 47 23.81 N, 124 26.00 W,48.397,-124.433,123,1,,160.646,159.248,7.2246,,,,33.7612,,,,26.4141,,3.2188,,,,,3.257,,,3.257,,,,,,,,,30.881,0.274,0.073,2.289,44.897,,0.0064,,,,,,,,,,,,,
14,  RBTSN201905,5/23/2019,12:16:44,5/23/2019,5:16:44, 47 23.81 N, 124 26.00 W,48.397,-124.433,123,2,,79.34,78.665,8.4974,,,,32.9359,,,,25.5805,,5.345,,,,,5.777,,,5.777,,,,,,,,,21.437,0.256,0.815,1.800,30.609,,0.1681,,,,,,,,,,,,,
