record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  ChaBa22a,May 04 2022,6:09:21,5/4/2022, 23:09:21,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,1,2,80.123,79.43,7.8278,,2,,33.642,,2,,26.2336,,9.55263,,,2,,4.593,,,4.593,,2,,,,,,,29.21,0.11,0.31,2.10,27.68,2,0.1416,,,,,,,,,,,,,
2,  ChaBa22a,May 04 2022,6:09:23,5/4/2022, 23:09:23,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,2,2,79.651,78.96,7.8307,,2,,33.639,,2,,26.2309,,9.55218,,,2,,4.624,,,4.624,,2,,,,,,,29.30,0.11,0.37,2.15,27.72,2,0.1636,,,,,,,,,,,,,
3,  ChaBa22a,May 04 2022,6:10:57,5/4/2022, 23:10:57,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,3,2,51.034,50.60,7.809,,2,,33.025,,2,,25.7513,,9.59528,,,2,,5.435,,,5.435,,2,,,,,,,26.61,0.09,0.46,2.03,27.14,2,0.8136,,,,,,,,,,,,,
4,  ChaBa22a,May 04 2022,6:12:35,5/4/2022, 23:12:35,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,4,2,20.724,20.55,8.67,,2,,31.9661,,2,,24.7938,,9.47614,,,2,,9.316,,,9.316,,2,,,,,,,10.37,0.22,1.06,1.06,9.91,2,2.8311,,,,,,,,,,,,,
5,  ChaBa22a,May 04 2022,6:13:09,5/4/2022, 23:13:09,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,5,2,10.221,10.13,9.2893,,2,,31.7318,,2,,24.5153,,9.36065,,,2,,10.707,,,10.707,,2,,,,,,,5.14,0.19,0.53,0.56,1.21,2,9.9531,,,,,,,,,,,,,
6,  ChaBa22a,May 04 2022,6:13:25,5/4/2022, 23:13:25,47 57.87 N,124 57.072 W, 47.9645 N, 124.9512 W,381,6,2,5.404,5.36,9.8671,,2,,31.642,,2,,24.3528,,9.24764,,,2,,11.795,,,11.795,,2,,,,,,,,,,,,,8.6557,,,,,,,,,,,,,
7,  ChaBa22a,May 05 2022,2:56:02,5/5/2022, 19:56:02,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,1,2,80.346,79.65,7.5424,,2,,33.1791,,2,,25.9107,,9.64382,,,2,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,
8,  ChaBa22a,May 05 2022,2:56:04,5/5/2022, 19:56:04,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,2,2,79.602,78.92,7.5431,,2,,33.1759,,2,,25.9081,,9.64387,,,2,,,,,,,,,,,,,,,,,,,,0.0722,,,,,,,,,,,,,
9,  ChaBa22a,May 05 2022,2:57:44,5/5/2022, 19:57:44,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,3,2,50.516,50.08,8.0688,,2,,32.0226,,2,,24.9271,,9.6016,,,2,,,,,,,,,,,,,,,,,,,,0.3126,,,,,,,,,,,,,
10,  ChaBa22a,May 05 2022,2:59:05,5/5/2022, 19:59:05,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,4,2,20.476,20.30,8.3483,,2,,31.6389,,2,,24.5852,,9.56511,,,2,,,,,,,,,,,,,,,,,,,,0.5599,,,,,,,,,,,,,
11,  ChaBa22a,May 05 2022,2:59:28,5/5/2022, 19:59:28,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,5,2,10.615,10.53,8.591,,2,,31.4371,,2,,24.3912,,9.52556,,,2,,,,,,,,,,,,,,,,,,,,1.4527,,,,,,,,,,,,,
12,  ChaBa22a,May 05 2022,2:59:42,5/5/2022, 19:59:42,48 23.808 N,124 25.998 W, 48.3968 N, 124.4333 W,123,6,2,5.273,5.23,9.156,,2,,31.1021,,2,,24.0437,,9.42658,,,2,,,,,,,,,,,,,,,,,,,,3.3854,,,,,,,,,,,,,
13,  ChaBa22a,May 06 2022,8:51:35,5/6/2022, 01:51:35,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,1,2,115.437,114.43,7.3617,,2,,33.3061,,2,,26.0364,,9.67557,,,2,,4.090,,,4.090,,2,,,,,,,,,,,,,0.1097,,,,,,,,,,,,,
14,  ChaBa22a,May 06 2022,8:53:13,5/6/2022, 01:53:13,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,2,2,80.697,80.00,7.6652,,2,,32.8068,,2,,25.6008,,9.64039,,,2,,4.640,,,4.640,,2,,,,,,,,,,,,,0.1647,,,,,,,,,,,,,
15,  ChaBa22a,May 06 2022,8:55:46,5/6/2022, 01:55:46,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,3,2,30.554,30.29,8.2424,,2,,31.6047,,2,,24.574,,9.5901,,,2,,6.587,,,6.587,,2,,,,,,,,,,,,,0.3231,0.078,,0.078,Variable acetone added but accounted for in the calculations,0.059,,0.059,3,,,,,
16,  ChaBa22a,May 06 2022,8:56:39,5/6/2022, 01:56:39,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,4,2,10.052,9.97,8.8308,,2,,31.1077,,2,,24.0976,,9.49479,,,2,,8.090,,,8.090,,2,,,,,,,,,,,,,1.1324,1.351,,1.351,Variable acetone added but accounted for in the calculations,1.110,,1.110,3,,,,,
17,  ChaBa22a,May 06 2022,8:56:50,5/6/2022, 01:56:50,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,5,2,5.579,5.53,8.875,,2,,31.0707,,2,,24.0619,,9.48768,,,2,,8.177,,,8.177,,2,,,,,,,,,,,,,1.262,0.051,,0.051,Variable acetone added but accounted for in the calculations,0.255,,0.255,3,,,,,
18,  ChaBa22a,May 06 2022,8:56:59,5/6/2022, 01:56:59,48 13.398 N,123 28.98 W, 48.2233 N, 123.4830 W,136,6,2,2.416,2.40,8.9025,,2,,31.0507,,2,,24.0421,,9.48308,,,2,,8.138,,,8.138,,2,,,,,,,,,,,,,1.1764,0.893,,0.893,Variable acetone added but accounted for in the calculations,0.304,,0.304,3,,,,,
19,  ChaBa22a,May 06 2022,10:54:15,5/6/2022, 03:54:15,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,1,2,100.37,99.50,7.8185,,2,,32.5064,,2,,25.3433,,9.62576,,,2,,4.999,,,4.999,,2,,,,,,,30.32,0.20,0.98,2.30,37.02,2,0.2655,,,,,,,,,,,,,
20,  ChaBa22a,May 06 2022,10:55:08,5/6/2022, 03:55:08,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,2,2,80.728,80.03,7.9723,,2,,32.268,,2,,25.1339,,9.6072,,,2,,5.661,,,5.661,,2,,,,,,,,,,,,,0.2879,,,,,,,,,,,,,
21,  ChaBa22a,May 06 2022,10:57:30,5/6/2022, 03:57:30,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,3,2,30.887,30.62,8.2176,,2,,31.9093,,2,,24.8164,,9.57647,,,2,,6.314,,,6.314,,2,,,,,,,27.51,0.25,0.99,2.15,34.31,2,0.3893,0.13,,0.130,,0.065,,0.065,3,,,,,
22,  ChaBa22a,May 06 2022,10:58:32,5/6/2022, 03:58:32,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,4,2,10.238,10.15,8.2182,,2,,31.8784,,2,,24.7918,,9.57827,,,2,,6.388,,,6.388,,2,,,,,,,,,,,,,0.3406,0.04,,0.043,Variable acetone added but accounted for in the calculations,0.358,,0.358,3,,,,,
23,  ChaBa22a,May 06 2022,10:58:44,5/6/2022, 03:58:44,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,5,7,5.728,5.68,8.5989,,2,,31.3856,,2,,24.3497,,9.52704,,,2,,,,,,,,,,,,,,,,,,,,0.6993,,,,Variable acetone added but accounted for in the calculations,,,,,,,,,
24,  ChaBa22a,May 06 2022,10:58:57,5/6/2022, 03:58:57,48 16.368 N,123 1.158 W, 48.2728 N, 123.0193 W,22,6,2,2.539,2.52,8.8079,,2,,31.0103,,2,,24.0247,,9.50564,,,2,,7.446,,,7.446,,2,,,,,,,22.47,0.27,1.28,1.87,29.70,2,1.1451,1.88,,1.875,,0.000,,0.000,3,,,,,
25,  ChaBa22a,May 06 2022,17:17:04,5/6/2022, 10:17:04,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,1,2,170.554,169.05,8.7447,,2,,29.8889,,2,,23.1591,,9.58849,,,2,,7.775,,,7.775,,2,,,,,,,23.03,0.34,3.34,2.07,37.25,2,0.2663,,,,Variable acetone added but accounted for in the calculations,,,,,,,,,
26,  ChaBa22a,May 06 2022,17:21:43,5/6/2022, 10:21:43,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,2,2,80.51,79.82,8.7728,,2,,29.7816,,2,,23.0698,,9.5891,,,2,,7.973,,,7.973,,2,,,,,,,22.88,0.36,2.75,2.05,36.35,2,0.1844,,,,,,,,,,,,,
27,  ChaBa22a,May 06 2022,17:23:58,5/6/2022, 10:23:58,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,3,2,30.42,30.16,8.6868,,2,,29.4491,,2,,22.8215,,9.62835,,,2,,9.962,,,9.962,,4,,,,,,,,,,,,,0.4938,0.140,,0.140,,0.456,,0.456,3,,,,,
28,  ChaBa22a,May 06 2022,17:24:53,5/6/2022, 10:24:53,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,4,2,10.478,10.39,8.945,,2,,29.2698,,2,,22.6433,,9.58381,,,2,,8.780,,,8.780,,2,,,,,,,,,,,,,1.9452,0.104,,0.104,Variable acetone added but accounted for in the calculations,1.241,,1.241,3,,,,,
29,  ChaBa22a,May 06 2022,17:25:07,5/6/2022, 10:25:07,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,5,2,5.46,5.41,8.9996,,2,,29.2342,,2,,22.6073,,9.57431,,,2,,10.480,,,10.480,,2,,,,,,,,,,,,,2.6815,6.288,,6.288,Variable acetone added but accounted for in the calculations,5.633,,5.633,3,,,,,
30,  ChaBa22a,May 06 2022,17:25:14,5/6/2022, 10:25:14,47 42.168 N,122 27.21 W, 47.7028 N, 122.4535 W,28,6,2,2.54,2.52,9.2717,,2,,28.989,,2,,22.3752,,9.53135,,,2,,10.010,,,10.010,,2,,,,,,,17.67,0.35,0.95,1.58,35.25,2,5.2463,0.325,,0.325,Variable acetone added but accounted for in the calculations,2.123,,2.123,3,,,,,
31,  ChaBa22a,May 06 2022,14:22:36,5/6/2022, 07:22:36,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,1,2,80.51,79.82,8.8224,,2,,30.5061,,2,,23.6292,,9.53362,,,2,,8.344,,,8.344,,2,,,,,,,21.64,0.30,1.60,1.85,31.39,2,0.8514,,,,Variable acetone added but accounted for in the calculations,,,,,,,,,
32,  ChaBa22a,May 06 2022,14:24:19,5/6/2022, 07:24:19,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,2,2,50.604,50.17,8.9803,,2,,30.1044,,2,,23.2911,,9.52472,,,2,,8.355,,,8.355,,2,,,,,,,,,,,,,1.3394,,,,,,,,,,,,,
33,  ChaBa22a,May 06 2022,14:25:25,5/6/2022, 07:25:25,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,3,2,30.617,30.36,9.0614,,2,,29.912,,2,,23.1283,,9.51932,,,2,,8.620,,,8.620,,2,,,,,,,19.61,0.31,2.19,1.73,30.49,2,1.2989,0.020,,0.020,,0.031,,0.031,3,,,,,
34,  ChaBa22a,May 06 2022,14:26:28,5/6/2022, 07:26:28,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,4,2,10.694,10.60,9.2382,,2,,29.2975,,2,,22.6212,,9.51953,,,2,,9.192,,,9.192,,2,,,,,,,,,,,,,1.5123,0.198,,0.198,Variable acetone added but accounted for in the calculations,0.187,,0.187,3,,,,,
35,  ChaBa22a,May 06 2022,14:26:47,5/6/2022, 07:26:47,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,5,2,5.544,5.50,9.3024,,2,,29.0461,,2,,22.4152,,9.52134,,,2,,9.336,,,9.336,,2,,,,,,,,,,,,,2.0388,3.707,,3.707,Variable acetone added but accounted for in the calculations,1.620,,1.620,3,,,,,
36,  ChaBa22a,May 06 2022,14:26:57,5/6/2022, 07:26:57,47 59.058 N,122 37.152 W, 47.9843 N, 122.6192 W,7,6,2,2.56,2.54,9.3761,,2,,28.7456,,2,,22.1695,,9.52414,,,2,,9.335,,,9.335,,2,,,,,,,15.63,0.29,1.45,1.47,29.48,2,2.0737,0.186,,0.186,Variable acetone added but accounted for in the calculations,0.080,,0.080,3,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variable acetone added but accounted for in the calculations,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
