record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96458,-124.94963,381,1,,93.544,92.738,8.3173,8.3149,,,33.6,33.5986,,,26.1286,26.1279,3.6523,3.5634,3.60785,,,3.97,,,3.97,,,,,,,,,26.7421574,0.380075255,-0.000810114,2.284125959,39.3223502,,0.0974,,,,,,,,,2239.6,2,2199.8,2,
2,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96438,-124.94998,381,2,,83.808,83.089,8.9314,8.9302,,,33.3691,33.3671,,,25.8533,25.8519,4.2638,4.2723,4.26805,,,4.78,4.66,,4.72,,,,,,,,,22.29306016,0.488987343,0.455684379,2.021044414,32.78336075,,0.1197,,,,,,,,,2228.1,2,2169.4,2,
3,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96392,-124.9504,381,3,,61.264,60.742,10.4864,10.4856,,,32.9718,32.9689,,,25.2873,25.2851,5.8309,5.9472,5.88905,,,6.45,,,6.45,,,,,,,,,13.18780357,0.455770883,1.117858413,1.441546222,19.53591193,,0.1455,,,,,,,,,2209,2,2100.6,2,
4,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96347,-124.95068,381,4,,41.802,41.447,11.7876,11.7904,,,32.4922,32.4886,,,24.6822,24.6789,7.0737,7.2673,7.1705,,,,,,,,,,,,,,,,,,,,,0.4164,,,,,,,,,,,,,
5,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96332,-124.95068,381,5,,30.972,30.71,12.3048,12.3136,,,32.3692,32.3645,,,24.4901,24.4848,7.5453,7.7971,7.6712,,,8.7,,,8.7,,,,,,,,,4.018028708,0.215035625,-0.000490548,0.749144873,7.062831475,,0.842,0.635599369,,0.635599369,,0.593058476,,0.593058476,,2172.7,2,2006.8,2,
6,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96328,-124.95068,381,6,,30.045,29.79,12.2297,12.2345,,,32.3843,32.3805,,,24.5159,24.5121,7.4297,7.6922,7.56095,,,,,,,,,,,,,,,,,,,,,0.6964,,,,,,,,,,,,,
7,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.9631,-124.95095,381,7,,21.093,20.915,12.7246,12.7229,,,32.2833,32.2811,,,24.3431,24.3418,7.8607,8.1387,7.9997,,,8.77,,,8.77,,,,,,,,,1.81379552,0.123023107,-0.000581176,0.590308642,5.846577783,,1.3222,0.953399053,,0.953399053,,0.481948897,,0.481948897,,2172.2,2,1989.8,2,
8,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96294,-124.9512,381,8,,12.399,12.295,12.7313,12.7309,,,32.2817,32.279,,,24.3404,24.3383,7.8575,8.1698,8.01365,,,9.03,,,9.03,,,,,,,,,1.645248462,0.100028281,-0.0003023,0.587518317,5.678847033,,1.5204,0.98744902,,0.98744902,,0.459381714,,0.459381714,,2169,2,1990.8,2,
9,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96296,-124.95116,381,9,,4.463,4.425,12.7299,12.7292,,,32.2815,32.279,,,24.3403,24.3385,7.8429,8.172,8.00745,,,8.78,8.77,,8.775,,,,,,,,,1.701978423,0.104569778,0.000567564,0.58638348,5.569391658,,1.5361,0.907999099,,0.907999099,,0.469934933,,0.469934933,,2168.7,2,1990.5,2,
10,  AQ201610,10/24/2016,17:38:54,10/24/2016,10:38:54, 47 57.94 N, 124 56.93 W,47.96294,-124.9509,381,10,,1.863,1.848,12.7272,12.7272,,,32.2828,32.2799,,,24.3417,24.3395,7.832,8.1728,8.0024,,,,,,,,,,,,,,,,,,,,,1.4505,,,,,,,,,,,,,
