record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,SH1709,09/18/17,20:32:54,09/18/17,13:32:54, 47 42.17 N, 122 27.18 W,47.70232,-122.452,28,1,,193.076,191.371,11.918,,2,,30.649,,2,,23.231,,4.972,5.339,5.16,,,5.342,,,5.342,163.1561721,2,,,,,,,20.7,0.78,2.01,2.31,47.09,2,0.318,,,,,,,,,2105.6,2,2054.4,2,
2,SH1709,09/18/17,20:35:54,09/18/17,13:35:54, 47 42.17 N, 122 27.18 W,47.70216,-122.45163,28,2,,100.718,99.851,12.158,,2,,30.466,,2,,23.044,,5.119,5.489,5.30,,,5.298,,,5.298,161.8419422,2,,,,,,,20.68,0.81,1.3,2.23,42.77,2,0.1829,,,,,,,,,2090.2,2,2044.3,2,
3,SH1709,09/18/17,20:37:14,09/18/17,13:37:14, 47 42.17 N, 122 27.18 W,47.70216,-122.4515,28,3,,74.977,74.336,12.315,,2,,30.352,,2,,22.926,,5.147,5.512,5.33,,,5.386,,,5.386,164.5492035,2,,,,,,,20.83,0.84,0.84,2.19,41.13,2,0.157,,,,,,,,,2086.0,2,2034.9,2,
4,SH1709,09/18/17,20:38:41,09/18/17,13:38:41, 47 42.17 N, 122 27.18 W,47.702,-122.45132,28,4,,50.157,49.731,12.659,,2,,30.131,,2,,22.690,,5.303,5.677,5.49,,,5.363,,,5.363,163.8842377,2,,,,,,,19.53,0.89,0.61,2.16,40.2,2,0.2101,,,,,,,,,2070.9,2,2021.4,2,
5,SH1709,09/18/17,20:40:04,09/18/17,13:40:04, 47 42.17 N, 122 27.18 W,47.702,-122.45132,28,5,,29.469,29.221,12.945,,2,,30.008,,2,,22.540,,5.665,6.070,5.87,,,5.812,,,5.812,177.6310089,2,,,,,,,20.93,0.87,0.35,2.21,40.08,2,0.4301,,,,,,,,,2064.6,2,2008.1,2,
6,SH1709,09/18/17,20:41:28,09/18/17,13:41:28, 47 42.17 N, 122 27.18 W,47.70182,-122.45116,28,6,,9.599,9.518,13.278,,2,,29.923,,2,,22.410,,6.389,6.848,6.62,,,6.634,,,6.634,202.7793931,2,,,,,,,18.44,0.86,0.55,2.11,40.13,2,1.061,,,,,,,,,2060.2,2,2000.4,2,
7,SH1709,09/18/17,20:42:39,09/18/17,13:42:39, 47 42.17 N, 122 27.18 W,47.70182,-122.45116,28,7,,4.873,4.832,13.307,,2,,29.918,,2,,22.401,,6.459,6.931,6.69,,,6.583,,,6.583,201.2223225,2,,,,,,,18.2,0.85,0.54,2.09,40.4,2,0.9549,,,,,,,,,2054.7,2,1997.0,2,
8,SH1709,09/18/17,20:43:45,09/18/17,13:43:45, 47 42.17 N, 122 27.18 W,47.70166,-122.451,28,8,,2.688,2.666,13.307,,2,,29.920,,2,,22.402,,6.447,6.911,6.68,,,7.101,,,7.101,217.0558399,2,,,,,,,17.94,0.84,0.5,2.06,40.36,2,0.7172,,,,,,,,,2072.1,2,2000.2,2,
9,SH1709,09/18/17,22:56:03,09/18/17,15:56:03, 47 55.60 N, 122 27.97 W,47.92735,-122.46553,6,1,,96.582,95.75,11.776,,2,,30.705,,2,,23.299,,5.273,5.657,5.47,,,5.533,,,5.533,168.9786255,2,,,,,,,21.06,0.67,1.08,2.17,43.03,2,0.7473,,,,,,,,,2103.2,2,2045.3,2,
10,SH1709,09/18/17,22:56:59,09/18/17,15:56:59, 47 55.60 N, 122 27.97 W,47.9275,-122.46532,6,2,,75.637,74.989,11.866,,2,,30.648,,2,,23.237,,5.337,5.723,5.53,,,5.556,,,5.556,169.6912638,2,,,,,,,21.02,0.68,1.1,2.17,43.22,2,0.7244,,,,,,,,,2102.9,2,,9,
