record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,TN384,09/26/20,15:41:03,09/26/20,8:41:03, 47 58.42 N, 124 57.74 W,47.974,124.962,381,1,,93.173,92.370,7.625,7.625,50.399,,33.663,33.672,42.031,,26.280,26.286,2.439,2.276,2.358,,NEMO-SS recover,2.505,,,2.505,,,,7.898,,,,,,,,,,,0.019,,,,,,,,,,,,,
2,TN384,09/26/20,15:41:19,09/26/20,8:41:19, 47 58.42 N, 124 57.74 W,47.974,124.962,381,2,,95.448,94.625,7.624,7.625,51.536,,33.662,33.671,42.599,,26.279,26.286,2.446,2.272,2.359,,NEMO-SS recover,,,,,,,,7.888,,,,,30.136,0.185,0.559,2.402,46.675,,0.012,,,,,,,,,,,,,
3,TN384,09/26/20,15:42:42,09/26/20,8:42:42, 47 58.42 N, 124 57.74 W,47.974,124.962,381,3,,86.564,85.820,7.627,7.628,47.095,,33.659,33.668,40.377,,26.276,26.283,2.464,2.295,2.380,,NEMO-SS recover,2.515,2.532,,2.524,,,,7.863,,,,,29.900,0.176,0.560,2.391,46.486,,0.014,,,,,,,,,,,,,
4,TN384,09/26/20,15:42:55,09/26/20,8:42:55, 47 58.42 N, 124 57.74 W,47.974,124.962,381,4,,84.579,83.852,7.628,7.629,46.103,,33.658,33.667,39.881,,26.275,26.282,2.474,2.305,2.390,,NEMO-SS recover,,,,,,,,7.863,,,,,,,,,,,0.015,,,,,,,,,,,,,
5,TN384,09/26/20,15:43:53,09/26/20,8:43:53, 47 58.42 N, 124 57.74 W,47.974,124.962,381,5,,80.621,79.929,7.630,7.630,44.125,,33.656,33.665,38.891,,26.273,26.280,2.495,2.327,2.411,,NEMO-SS recover,2.610,,,2.610,,,,7.854,,,,,29.763,0.160,0.563,2.364,46.260,,0.007,,,,,,,,,,,,,
6,TN384,09/26/20,15:44:03,09/26/20,8:44:03, 47 58.42 N, 124 57.74 W,47.974,124.962,381,6,,80.965,80.270,7.629,7.630,44.297,,33.657,33.665,38.977,,26.274,26.281,2.482,2.327,2.404,,NEMO-SS recover,,,,,,,,7.853,,,,,,,,,,,0.027,,,,,,,,,,,,,
7,TN384,09/26/20,15:45:36,09/26/20,8:45:36, 47 58.42 N, 124 57.74 W,47.974,124.962,381,7,,69.972,69.373,7.641,7.641,38.807,,33.627,33.638,36.217,,26.249,26.257,2.719,2.524,2.622,,NEMO-SS recover,2.797,,,2.797,,,,7.85,,,,,29.889,0.165,0.319,2.317,44.625,,0.016,,,,,,,,,,,,,
8,TN384,09/26/20,15:45:46,09/26/20,8:45:46, 47 58.42 N, 124 57.74 W,47.974,124.962,381,8,,70.674,70.069,7.639,7.640,39.156,,33.632,33.641,36.394,,26.253,26.260,2.765,2.575,2.670,,NEMO-SS recover,,,,,,,,7.85,,,,,,,,,,,0.008,,,,,,,,,,,,,
9,TN384,09/26/20,15:47:30,09/26/20,8:47:30, 47 58.42 N, 124 57.74 W,47.974,124.962,381,9,,60.212,59.698,7.811,7.812,34.012,,33.271,33.280,33.641,,25.944,25.951,5.247,4.833,5.040,,NEMO-SS recover,5.337,,,5.337,,,,7.982,,,,,24.901,0.092,0.045,1.831,26.959,,-0.018,,,,,,,,,,,,,
10,TN384,09/26/20,15:47:41,09/26/20,8:47:41, 47 58.42 N, 124 57.74 W,47.974,124.962,381,10,,61.296,60.773,7.821,7.825,34.559,,33.299,33.315,33.929,,25.965,25.977,5.240,4.832,5.036,,NEMO-SS recover,,,,,,,,7.99,,,,,,,,,,,-0.013,,,,,,,,,,,,,
