record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  TN395,"October 1, 2021",10:45:32,"October 1, 2021",3:45:32, 47 59.06 N, 122 37.22 W,47.98,122.62,7,1,2,90.60,89.82,10.13,,2,,32.01,32.01,2,,24.60,,4.49,4.74,4.61,2,,,,,,,,,7.69,,,,22.30,,,,,,,4.25,,,,,,,,,,,,,
2,  TN395,"October 1, 2021",10:45:44,"October 1, 2021",3:45:44, 47 59.06 N, 122 37.22 W,47.98,122.62,7,2,2,90.59,89.81,10.13,,2,,32.01,32.01,2,,24.60,,4.49,4.75,4.62,2,,4.87,4.87,,4.87,,2,,7.69,,,,22.30,27.22,0.37,0.86,2.33,38.37,2,4.13,,,,,,,,,,,,,
3,  TN395,"October 1, 2021",10:48:52,"October 1, 2021",3:48:52, 47 59.06 N, 122 37.22 W,47.98,122.62,7,3,2,50.69,50.26,11.83,,2,,30.88,30.88,2,,23.42,,5.44,5.77,5.61,2,,,,,,,,,7.76,,,,22.30,,,,,,,4.74,,,,,,,,,,,,,
4,  TN395,"October 1, 2021",10:49:00,"October 1, 2021",3:49:00, 47 59.06 N, 122 37.22 W,47.98,122.62,7,4,2,50.69,50.26,11.82,,2,,30.88,30.88,2,,23.43,,5.44,5.77,5.60,2,,5.62,,,5.62,,2,,7.76,,,,22.30,24.35,0.43,0.54,2.28,37.66,2,4.42,1.62,1.52,1.57,2,0.69,0.59,0.64,2,,,,,
5,  TN395,"October 1, 2021",10:50:50,"October 1, 2021",3:50:50, 47 59.06 N, 122 37.22 W,47.98,122.62,7,5,2,30.64,30.38,12.31,,2,,30.61,30.61,2,,23.13,,5.51,5.85,5.68,2,,,,,,,,,7.78,,,,22.30,,,,,,,4.00,,,,,,,,,,,,,
6,  TN395,"October 1, 2021",10:50:54,"October 1, 2021",3:50:54, 47 59.06 N, 122 37.22 W,47.98,122.62,7,6,2,30.65,30.39,12.31,,2,,30.61,30.61,2,,23.12,,5.52,5.87,5.69,2,,5.94,,,5.94,,2,,7.78,,,,22.30,23.81,0.42,0.18,2.29,37.66,2,4.08,1.35,1.35,1.35,2,0.52,0.51,0.51,2,,,,,
7,  TN395,"October 1, 2021",10:52:10,"October 1, 2021",3:52:10, 47 59.06 N, 122 37.22 W,47.98,122.62,7,7,2,20.38,20.21,12.68,,2,,30.52,30.52,2,,22.99,,5.57,5.91,5.74,2,,,,,,,,,7.79,,,,22.30,,,,,,,3.63,,,,,,,,,,,,,
8,  TN395,"October 1, 2021",10:52:17,"October 1, 2021",3:52:17, 47 59.06 N, 122 37.22 W,47.98,122.62,7,8,2,20.46,20.29,12.64,,2,,30.53,30.53,2,,23.00,,5.56,5.92,5.74,2,,6.12,,,6.12,,2,,7.79,,,,22.30,23.68,0.33,0.01,2.27,36.63,2,3.65,0.70,0.87,0.78,2,0.40,0.54,0.47,2,,,,,
9,  TN395,"October 1, 2021",10:53:37,"October 1, 2021",3:53:37, 47 59.06 N, 122 37.22 W,47.98,122.62,7,9,2,10.51,10.42,12.87,,2,,30.44,30.44,2,,22.89,,5.87,6.28,6.08,2,,,,,,,,,7.82,,,,22.30,,,,,,,4.64,,,,,,,,,,,,,
10,  TN395,"October 1, 2021",10:53:41,"October 1, 2021",3:53:41, 47 59.06 N, 122 37.22 W,47.98,122.62,7,10,2,10.55,10.46,12.87,,2,,30.44,30.44,2,,22.89,,5.74,6.08,5.91,2,,6.42,,,6.42,,2,,7.81,,,,22.30,23.10,0.38,0.01,2.25,36.08,2,4.11,0.02,0.03,0.03,2,2.12,1.16,1.64,2,,,,,
