"","spp_x","spp_y"
"Black & Deacon",-0.630703102809291,0.0445121811051612
"Cabezon",-0.177772664864077,-0.0697657480438929
"Canary",-0.118502225112242,0.158565417226905
"China",-0.107838931487507,0.193981582844524
"Copper",-0.116578746962671,0.120165619934709
"Greenling",-0.058941533104981,0.0398020666098684
"Lingcod",-0.261382622742789,-0.144352683233046
"Quillback",-0.386574962771121,0.13667717028283
"Tiger",-0.492011907948151,-0.0611024782071451
"Widow",0.096035448560426,-1.4575970818653
"Yellowtail",-0.136994493897314,0.178450693113086
"Vermillion",-0.14807659605626,0.163085745076731
"Yelloweye",-0.205819624250768,0.0698767525076214
