"","spp_x","spp_y"
"BlackDeacon",-0.0127367306122066,0.0525017780401255
"Cabezon",-0.278580916243706,-0.0857790673636713
"Canary",0.276278567357898,0.129107417448051
"China",0.0577722023329923,-0.0406399191599443
"Copper",0.0964039213821512,0.0434129378700744
"Greenling",-0.0107036220481727,-0.0624224682590535
"Lingcod",-0.0206564926492476,0.195481692302963
"Quillback",0.0947343278123998,0.0290403588064045
"Tiger",-0.135126366339251,0.423957954171078
"Widow",-0.521762952093315,0.910757153300494
"Yellowtail",0.179797274147624,0.145962690721896
"YOY",0.439032019832871,0.0432713762184725
"Vermillion",0.0916635643415757,0.0123478440061724
"Halibut",-0.0873888818897644,0.242296444367473
"Yelloweye",0.20513902792736,0.15611209984181
