"","spp_x","spp_y"
"Black",0.164912333804132,-0.388132903855217
"Cabezon",-0.398147708658078,-0.203774690825872
"Canary",0.516869828307001,0.0467646449935036
"China",0.0652956329513385,0.0643602696124707
"Copper",0.131323802378704,-0.0854661755967832
"Greenling",-0.0448519680469047,-0.0187662605153922
"Lingcod",0.00384465785219794,-0.322115636954293
"Quillback",0.112465972147506,-0.0239300620469553
"Tiger",-0.198067398450328,-0.46403386481267
"Widow",-1.36512980389,-0.777331387708333
"Yellowtail",0.484513498135865,-0.0697983745717682
"YOY",1.69006326345653,-0.199288064637672
"Vermillion",0.0588085333403654,-0.0488913573656588
"Yelloweye",0.533933862256159,-0.19569135399283
