"","spp_x","spp_y"
"Black & Deacon",-0.53850182372625,-0.0158256156020968
"Cabezon",-0.168388908640888,-0.0281006260109516
"Canary",-0.159038042546611,0.185894430969231
"China",-0.0263417384200424,0.179756457514073
"Copper",-0.168388385092206,0.189480927008923
"Greenling",-0.0355980989355122,0.0754369075567175
"Lingcod",-0.257303089561175,-0.188824240103067
"Quillback",-0.122644706845317,0.134307222032616
"Tiger",-0.346262320057583,-0.283013933627132
"Widow",0.0969913373053466,-1.44710295950742
"Yellowtail",-0.197479094277084,0.0886169256704591
"Vermillion",-0.163167851985747,0.189584468232842
"Yelloweye",-0.22063673722381,0.10056884738754
