"","spp_x","spp_y"
"Black",-0.0133923558575107,0.0497328342257138
"Cabezon",-0.288881870243114,-0.0699246084938595
"Canary",0.288326234334698,0.114512395323666
"China",0.0559202844105792,-0.037705173399107
"Copper",0.0909244186455212,0.0388666291345437
"Greenling",-0.0113477149906059,-0.0591090011228064
"Lingcod",-0.00433889368277906,0.1987429090664
"Quillback",0.0779579468232629,0.0156050805662092
"Tiger",-0.099454639022113,0.37995148310676
"Widow",-0.473002027894885,0.94017970464736
"Yellowtail",0.200737877277004,0.136716899139285
"YOY",0.440277555733983,0.0359303133699889
"Vermillion",0.0918416832622507,0.00937515170518014
"Yelloweye",0.209317681585966,0.134524001639602
