"","spp_x","spp_y"
"BlackDeacon",-0.555727088920705,-0.0135442976042178
"Cabezon",-0.178988116486055,-0.00393245807073188
"Canary",-0.179775939347893,0.184278202164278
"China",-0.0255035753961018,0.180618601829
"Copper",-0.174138978739319,0.194008077142106
"Greenling",-0.0405658279388493,0.0827015782960147
"Lingcod",-0.273199092920844,-0.190312936780481
"Quillback",-0.136681670902866,0.147331330191862
"Tiger",-0.338745897616526,-0.355845260738915
"Widow",0.0818481219227391,-1.44485024336264
"Yellowtail",-0.234583402109525,0.0506047572120682
"Vermillion",-0.175238664995025,0.191637385687551
"Halibut",-0.355927311513487,0.176015511356501
"Yelloweye",-0.235625235596828,0.104515421644894
