"","spp_x","spp_y"
"Black & Deacon",-0.521646415307213,0.0088116529261164
"Cabezon",-0.207698177619769,-0.0353445653036326
"Canary",-0.135062953135131,-0.203879776252439
"China",-0.0250903830173721,-0.129994006401583
"Copper",-0.154131365401106,-0.0726263964913578
"Greenling",-0.00485507802577639,-0.150242672812353
"Lingcod",-0.0725675922016968,0.171971597799296
"Quillback",-0.163115871409256,-0.115804310006019
"Tiger",-0.269728254556921,0.0591081505489184
"Widow",-0.0447516533575358,1.10762861212295
"Yellowtail",-0.212537787455752,-0.0692252413729583
"Vermillion",-0.109506530182053,-0.107188603562331
"Yelloweye",-0.104656576036395,-0.0599284164944653
