"","spp_x","spp_y"
"Black & Deacon",-0.620861112396741,0.052662976158609
"Cabezon",-0.182777055752961,0.00513016353707273
"Canary",-0.0871878889142746,-0.0945612099520954
"China",-0.123607031924403,0.168136612912426
"Copper",-0.124650744163246,0.159711500101702
"Greenling",-0.0590695218995462,0.0801418319080622
"Lingcod",-0.253562306367472,-0.152458371543016
"Quillback",-0.382182265451794,0.161364525699613
"Tiger",-0.480114767534926,-0.122922919184163
"Widow",0.105741834447771,-1.46427618795107
"Yellowtail",-0.129227188437878,-0.152302284361114
"Vermillion",-0.153727273158808,0.160004976562569
"Yelloweye",-0.194867574712244,0.0512236609912425
